subject,subject_group,round,round_start_date_utc,round_start_time_utc,current_time_utc,current_hour24,current_minute,current_second,current_elapsed_seconds,event,ui_tab,active_faults,fixed_faults,fixed_nonfaults,ReplacedComponents,FaultsRemaining,ReplacedNonFaults
ST3,HI,1,4/28/21,17:49:54,17:49:54,17,49,54,0.05,Make electrical flaw: Sweep Control Circuit,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST3,HI,1,4/28/21,17:49:54,17:49:54,17,49,54,0.06,Start (High Fidelity Sim),,Sweep-Control-Circuit-(electrical),,,0,1,0
ST3,HI,1,4/28/21,17:49:54,17:51:08,17,51,8,73.63,Move to Server Box Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST3,HI,1,4/28/21,17:49:54,17:51:09,17,51,9,74.6,Leave Server Box Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST3,HI,1,4/28/21,17:49:54,17:51:11,17,51,11,77.42,Move to Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST3,HI,1,4/28/21,17:49:54,17:51:13,17,51,13,79.29,Leave Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST3,HI,1,4/28/21,17:49:54,17:51:14,17,51,14,80.24,Move to Server Box Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST3,HI,1,4/28/21,17:49:54,17:51:53,17,51,53,119.33,Leave Server Box Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST3,HI,1,4/28/21,17:49:54,17:51:54,17,51,54,120.06,Move to Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST3,HI,1,4/28/21,17:49:54,17:51:56,17,51,56,121.63,Leave Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST3,HI,1,4/28/21,17:49:54,17:51:59,17,51,59,124.57,Swing front panel: 0% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST3,HI,1,4/28/21,17:49:54,17:51:59,17,51,59,124.79,Swing front panel: 0% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST3,HI,1,4/28/21,17:49:54,17:51:59,17,51,59,125.4,Swing front panel: 0% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST3,HI,1,4/28/21,17:49:54,17:52:01,17,52,1,126.61,Pick Up LRU: 'Video Amplifier [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST3,HI,1,4/28/21,17:49:54,17:52:01,17,52,1,126.74,Drop LRU: 'Video Amplifier [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST3,HI,1,4/28/21,17:49:54,17:52:01,17,52,1,127.17,Pick Up LRU: 'Video Amplifier [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST3,HI,1,4/28/21,17:49:54,17:52:03,17,52,3,128.76,Drop LRU: 'Video Amplifier [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST3,HI,1,4/28/21,17:49:54,17:52:13,17,52,13,139.24,Move to Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST3,HI,1,4/28/21,17:49:54,17:52:15,17,52,15,141.47,Leave Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST3,HI,1,4/28/21,17:49:54,17:52:18,17,52,18,143.52,Move to Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST3,HI,1,4/28/21,17:49:54,17:52:21,17,52,21,146.65,Pick Up LRU: 'Stage 2 Modulator [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST3,HI,1,4/28/21,17:49:54,17:52:23,17,52,23,149.17,Drop LRU: 'Stage 2 Modulator [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST3,HI,1,4/28/21,17:49:54,17:52:24,17,52,24,149.53,Pick Up LRU: 'Stage 2 Modulator [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST3,HI,1,4/28/21,17:49:54,17:52:24,17,52,24,149.7,Drop LRU: 'Stage 2 Modulator [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST3,HI,1,4/28/21,17:49:54,17:52:24,17,52,24,150.09,Pick Up LRU: 'Frequency Synthesizer [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST3,HI,1,4/28/21,17:49:54,17:52:25,17,52,25,150.57,Drop LRU: 'Frequency Synthesizer [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST3,HI,1,4/28/21,17:49:54,17:52:26,17,52,26,151.93,Pick Up LRU: 'RF Amplifier 1 [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST3,HI,1,4/28/21,17:49:54,17:52:29,17,52,29,154.69,Drop LRU: 'RF Amplifier 1 [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST3,HI,1,4/28/21,17:49:54,17:52:36,17,52,36,162.06,Pick Up LRU: 'Sweep Generator Circuit [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST3,HI,1,4/28/21,17:49:54,17:52:36,17,52,36,162.42,Drop LRU: 'Sweep Generator Circuit [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST3,HI,1,4/28/21,17:49:54,17:52:37,17,52,37,162.89,Pick Up LRU: 'Cathode Ray Tube [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST3,HI,1,4/28/21,17:49:54,17:52:39,17,52,39,164.88,Drop LRU: 'Cathode Ray Tube [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST3,HI,1,4/28/21,17:49:54,17:52:43,17,52,43,168.77,Pick Up LRU: 'RC Differentiator [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
