subject,subject_group,round,round_start_date_utc,round_start_time_utc,current_time_utc,current_hour24,current_minute,current_second,current_elapsed_seconds,event,ui_tab,active_faults,fixed_faults,fixed_nonfaults,ReplacedComponents,FaultsRemaining,ReplacedNonFaults
ST42,HI,1,6/3/21,17:05:54,17:05:54,17,5,54,0.11,Make electrical flaw: Sweep Control Circuit,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST42,HI,1,6/3/21,17:05:54,17:05:54,17,5,54,0.13,Start (High Fidelity Sim),,Sweep-Control-Circuit-(electrical),,,0,1,0
ST42,HI,1,6/3/21,17:05:54,17:06:59,17,6,59,64.85,Swing front panel: 0% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST42,HI,1,6/3/21,17:05:54,17:07:23,17,7,23,88.6,Move to Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST42,HI,1,6/3/21,17:05:54,17:07:34,17,7,34,99.63,Leave Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST42,HI,1,6/3/21,17:05:54,17:07:36,17,7,36,101.63,Move to Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST42,HI,1,6/3/21,17:05:54,17:08:26,17,8,26,151.9,Leave Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST42,HI,1,6/3/21,17:05:54,17:08:34,17,8,34,160.23,Move to Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST42,HI,1,6/3/21,17:05:54,17:08:43,17,8,43,169.17,Pick Up LRU: 'Frequency Synthesizer [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST42,HI,1,6/3/21,17:05:54,17:08:43,17,8,43,169.27,Drop LRU: 'Frequency Synthesizer [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST42,HI,1,6/3/21,17:05:54,17:08:52,17,8,52,178.15,Leave Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST42,HI,1,6/3/21,17:05:54,17:08:55,17,8,55,181.25,Move to Server Box Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST42,HI,1,6/3/21,17:05:54,17:09:00,17,9,0,185.72,Swing front panel: 0% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST42,HI,1,6/3/21,17:05:54,17:09:36,17,9,36,222.1,Leave Server Box Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST42,HI,1,6/3/21,17:05:54,17:09:37,17,9,37,222.62,Move to Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST42,HI,1,6/3/21,17:05:54,17:09:42,17,9,42,227.9,Pick Up LRU: 'Adjuster [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST42,HI,1,6/3/21,17:05:54,17:09:42,17,9,42,228.38,Drop LRU: 'Adjuster [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST42,HI,1,6/3/21,17:05:54,17:10:35,17,10,35,280.59,Leave Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST42,HI,1,6/3/21,17:05:54,17:10:43,17,10,43,288.56,Move to Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST42,HI,1,6/3/21,17:05:54,17:10:59,17,10,59,304.75,Pick Up LRU: 'Video Detector [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST42,HI,1,6/3/21,17:05:54,17:10:59,17,10,59,304.96,Drop LRU: 'Video Detector [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST42,HI,1,6/3/21,17:05:54,17:11:05,17,11,5,311.39,Pick Up LRU: 'Sine Wave Oscillator [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST42,HI,1,6/3/21,17:05:54,17:11:06,17,11,6,311.54,Drop LRU: 'Sine Wave Oscillator [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST42,HI,1,6/3/21,17:05:54,17:11:39,17,11,39,344.96,Leave Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST42,HI,1,6/3/21,17:05:54,17:11:42,17,11,42,347.79,Move to Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST42,HI,1,6/3/21,17:05:54,17:11:55,17,11,55,361.21,Pick Up LRU: 'Control Circuit [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST42,HI,1,6/3/21,17:05:54,17:11:58,17,11,58,363.93,Drop LRU: 'Control Circuit [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
