subject,subject_group,round,round_start_date_utc,round_start_time_utc,current_time_utc,current_hour24,current_minute,current_second,current_elapsed_seconds,event,ui_tab,active_faults,fixed_faults,fixed_nonfaults,ReplacedComponents,FaultsRemaining,ReplacedNonFaults
st52,HI,1,7/1/21,14:41:05,14:41:05,14,41,5,0.06,Make electrical flaw: Sweep Control Circuit,,Sweep-Control-Circuit-(electrical),,,0,1,0
st52,HI,1,7/1/21,14:41:05,14:41:05,14,41,5,0.07,Start (High Fidelity Sim),,Sweep-Control-Circuit-(electrical),,,0,1,0
st52,HI,1,7/1/21,14:41:05,14:41:32,14,41,32,27.47,Move to Server Box Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st52,HI,1,7/1/21,14:41:05,14:41:38,14,41,38,33.53,Swing front panel: 0% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st52,HI,1,7/1/21,14:41:05,14:41:42,14,41,42,37.44,Swing front panel: 0% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st52,HI,1,7/1/21,14:41:05,14:41:43,14,41,43,38.31,Swing front panel: 0% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st52,HI,1,7/1/21,14:41:05,14:41:43,14,41,43,38.71,Swing front panel: 0% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st52,HI,1,7/1/21,14:41:05,14:41:44,14,41,44,38.93,Swing front panel: 0% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st52,HI,1,7/1/21,14:41:05,14:41:45,14,41,45,40.2,Swing front panel: 0% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st52,HI,1,7/1/21,14:41:05,14:41:46,14,41,46,41.23,Swing front panel: 0% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st52,HI,1,7/1/21,14:41:05,14:41:49,14,41,49,44.13,Swing front panel: 0% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st52,HI,1,7/1/21,14:41:05,14:41:57,14,41,57,52.7,Swing front panel: 0% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st52,HI,1,7/1/21,14:41:05,14:41:59,14,41,59,54.1,Swing front panel: 0% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st52,HI,1,7/1/21,14:41:05,14:41:59,14,41,59,54.42,Swing front panel: 0% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st52,HI,1,7/1/21,14:41:05,14:42:01,14,42,1,56.12,Leave Server Box Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st52,HI,1,7/1/21,14:41:05,14:42:02,14,42,2,56.89,Move to Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st52,HI,1,7/1/21,14:41:05,14:42:12,14,42,12,67.66,Leave Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st52,HI,1,7/1/21,14:41:05,14:42:13,14,42,13,68.71,Move to Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st52,HI,1,7/1/21,14:41:05,14:42:19,14,42,19,74.74,Pick Up LRU: 'Frequency Synthesizer [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st52,HI,1,7/1/21,14:41:05,14:42:20,14,42,20,74.9,Drop LRU: 'Frequency Synthesizer [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st52,HI,1,7/1/21,14:41:05,14:42:52,14,42,52,107.47,Pick Up LRU: 'Low Noise RF Amplifier [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st52,HI,1,7/1/21,14:41:05,14:42:55,14,42,55,110.03,Drop LRU: 'Low Noise RF Amplifier [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st52,HI,1,7/1/21,14:41:05,14:43:03,14,43,3,118.37,Pick Up LRU: 'Video Amplifier [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st52,HI,1,7/1/21,14:41:05,14:43:17,14,43,17,132.13,Drop LRU: 'Video Amplifier [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st52,HI,1,7/1/21,14:41:05,14:43:19,14,43,19,134.23,Pick Up LRU: 'Mixer Detector [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
st52,HI,1,7/1/21,14:41:05,14:43:19,14,43,19,134.34,Drop LRU: 'Mixer Detector [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
