subject,subject_group,round,round_start_date_utc,round_start_time_utc,current_time_utc,current_hour24,current_minute,current_second,current_elapsed_seconds,event,ui_tab,active_faults,fixed_faults,fixed_nonfaults,ReplacedComponents,FaultsRemaining,ReplacedNonFaults
ST9,LO,1,4/28/21,20:20:16,20:20:16,20,20,16,0.04,Make electrical flaw: Sweep Control Circuit,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:20:16,20,20,16,0.04,Start (High Fidelity Sim),,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:22:15,20,22,15,119.24,Move to Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:22:19,20,22,19,123.09,Leave Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:22:19,20,22,19,123.37,Move to Server Box Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:22:25,20,22,25,128.9,Swing front panel: 55.1% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:22:39,20,22,39,143.32,Move drawer: 18.2% open,Indicator,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:22:45,20,22,45,148.7,Move drawer: 95.4% open,Indicator,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:22:46,20,22,46,149.8,Click on: 'Sweep Control Circuit',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:22:48,20,22,48,151.96,Cancel disconnect: 'Sweep Control Circuit',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:22:48,20,22,48,151.99,Swing front panel: 100% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:23:41,20,23,41,205.16,Click on: 'Cathode Ray Tube',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:23:47,20,23,47,211.06,Cancel disconnect: 'Cathode Ray Tube',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:24:18,20,24,18,242.26,Click on: 'Sweep Control Circuit',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:24:20,20,24,20,244.17,Disconnect LRU: 'Sweep Control Circuit',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:24:22,20,24,22,245.66,Pick Up LRU: 'Sweep Control Circuit',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:24:26,20,24,26,249.81,Drop LRU: 'Sweep Control Circuit',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:24:29,20,24,29,252.71,Cancel connect: 'Sweep Control Circuit',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:24:57,20,24,57,281.07,Move drawer: 0.2% open,Transmitter,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:25:02,20,25,2,285.94,Pick Up LRU: 'Sweep Control Circuit',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:25:06,20,25,6,289.98,Leave Server Box Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:25:07,20,25,7,291.33,Move to Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:25:11,20,25,11,295.05,Drop LRU: 'Sweep Control Circuit',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:25:23,20,25,23,306.91,Leave Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:25:24,20,25,24,307.82,Move to Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:25:43,20,25,43,326.91,Pick Up LRU: 'Sweep Control Circuit [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:25:46,20,25,46,329.91,Leave Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:25:46,20,25,46,330.24,Move to Server Box Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:25:49,20,25,49,332.89,Drop LRU: 'Sweep Control Circuit [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:26:37,20,26,37,381.24,Leave Server Box Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:26:38,20,26,38,381.8,Move to Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:26:39,20,26,39,383.04,Leave Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:26:40,20,26,40,383.65,Move to Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:26:46,20,26,46,390.07,Pick Up LRU: 'Gate Circuit [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:26:49,20,26,49,392.64,Drop LRU: 'Gate Circuit [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:26:50,20,26,50,393.76,Pick Up LRU: 'Stage 2 Modulator [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:26:50,20,26,50,394.37,Drop LRU: 'Stage 2 Modulator [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:26:51,20,26,51,394.95,Pick Up LRU: 'Stage 2 Modulator [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:26:52,20,26,52,396.1,Drop LRU: 'Stage 2 Modulator [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:26:53,20,26,53,397,Pick Up LRU: 'Gate Circuit [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:26:54,20,26,54,398.2,Drop LRU: 'Gate Circuit [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:26:56,20,26,56,400.47,Pick Up LRU: 'Gate Circuit [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:26:57,20,26,57,401.44,Drop LRU: 'Gate Circuit [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:26:58,20,26,58,402.52,Pick Up LRU: 'Gate Circuit [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:27:03,20,27,3,407.29,Drop LRU: 'Gate Circuit [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:27:04,20,27,4,408.02,Pick Up LRU: 'Gate Circuit [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:27:06,20,27,6,409.7,Drop LRU: 'Gate Circuit [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:27:07,20,27,7,410.75,Pick Up LRU: 'Gate Circuit [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:27:11,20,27,11,414.95,Drop LRU: 'Gate Circuit [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:27:12,20,27,12,415.93,Pick Up LRU: 'Stage 2 Modulator [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:27:15,20,27,15,418.68,Drop LRU: 'Stage 2 Modulator [SPARE]',,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:28:08,20,28,8,471.85,Submit?,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,1,4/28/21,20:20:16,20:28:09,20,28,9,473.05,Submit Confirm,,Sweep-Control-Circuit-(electrical),,,0,1,0
ST9,LO,2,4/28/21,20:28:10,20:28:10,20,28,10,0,Make electrical flaw: AFC Mixer,,AFC-Mixer-(electrical),,,0,1,0
ST9,LO,2,4/28/21,20:28:10,20:28:10,20,28,10,0,Start (High Fidelity Sim),,AFC-Mixer-(electrical),,,0,1,0
ST9,LO,2,4/28/21,20:28:10,20:28:10,20,28,10,0.02,Leave Spare Parts Table,,AFC-Mixer-(electrical),,,0,1,0
ST9,LO,2,4/28/21,20:28:10,20:28:14,20,28,14,3.96,Move to Server Box Table,,AFC-Mixer-(electrical),,,0,1,0
ST9,LO,2,4/28/21,20:28:10,20:28:18,20,28,18,7.63,Swing front panel: 44.7% open,,AFC-Mixer-(electrical),,,0,1,0
ST9,LO,2,4/28/21,20:28:10,20:28:26,20,28,26,15.58,Move drawer: 97.9% open,Processor,AFC-Mixer-(electrical),,,0,1,0
ST9,LO,2,4/28/21,20:28:10,20:28:48,20,28,48,37.99,Click on: 'Control Circuit',,AFC-Mixer-(electrical),,,0,1,0
ST9,LO,2,4/28/21,20:28:10,20:28:51,20,28,51,41.4,Cancel disconnect: 'Control Circuit',,AFC-Mixer-(electrical),,,0,1,0
ST9,LO,2,4/28/21,20:28:10,20:29:29,20,29,29,78.83,Click on: 'AFC Mixer',,AFC-Mixer-(electrical),,,0,1,0
ST9,LO,2,4/28/21,20:28:10,20:29:30,20,29,30,80,Disconnect LRU: 'AFC Mixer',,AFC-Mixer-(electrical),,,0,1,0
ST9,LO,2,4/28/21,20:28:10,20:29:45,20,29,45,95.36,Move drawer: 32.6% open,Processor,AFC-Mixer-(electrical),,,0,1,0
ST9,LO,2,4/28/21,20:28:10,20:29:48,20,29,48,97.95,Move drawer: -6.2% open,Indicator,AFC-Mixer-(electrical),,,0,1,0
ST9,LO,2,4/28/21,20:28:10,20:29:49,20,29,49,99.24,Pick Up LRU: 'AFC Mixer',,AFC-Mixer-(electrical),,,0,1,0
ST9,LO,2,4/28/21,20:28:10,20:29:56,20,29,56,106.43,Drop LRU: 'AFC Mixer',,AFC-Mixer-(electrical),,,0,1,0
ST9,LO,2,4/28/21,20:28:10,20:29:59,20,29,59,109.17,Leave Server Box Table,,AFC-Mixer-(electrical),,,0,1,0
ST9,LO,2,4/28/21,20:28:10,20:29:59,20,29,59,109.47,Move to Spare Parts Table,,AFC-Mixer-(electrical),,,0,1,0
ST9,LO,2,4/28/21,20:28:10,20:30:27,20,30,27,137.26,Pick Up LRU: 'Stage 3 Modulator [SPARE]',,AFC-Mixer-(electrical),,,0,1,0
ST9,LO,2,4/28/21,20:28:10,20:30:27,20,30,27,137.41,Drop LRU: 'Stage 3 Modulator [SPARE]',,AFC-Mixer-(electrical),,,0,1,0
ST9,LO,2,4/28/21,20:28:10,20:30:41,20,30,41,151.44,Pick Up LRU: 'AFC Mixer [SPARE]',,AFC-Mixer-(electrical),,,0,1,0
ST9,LO,2,4/28/21,20:28:10,20:30:44,20,30,44,154.18,Drop LRU: 'AFC Mixer [SPARE]',,AFC-Mixer-(electrical),,,0,1,0
ST9,LO,2,4/28/21,20:28:10,20:30:58,20,30,58,167.58,Leave Spare Parts Table,,AFC-Mixer-(electrical),,,0,1,0
ST9,LO,2,4/28/21,20:28:10,20:30:59,20,30,59,169.32,Move to Server Box Table,,AFC-Mixer-(electrical),,,0,1,0
ST9,LO,2,4/28/21,20:28:10,20:31:01,20,31,1,171.24,Pick Up LRU: 'Receiver Antenna [SPARE]',,AFC-Mixer-(electrical),,,0,1,0
ST9,LO,2,4/28/21,20:28:10,20:31:03,20,31,3,173.4,Drop LRU: 'Receiver Antenna [SPARE]',,AFC-Mixer-(electrical),,,0,1,0
ST9,LO,2,4/28/21,20:28:10,20:31:05,20,31,5,174.83,Pick Up LRU: 'Transmitter Transmission Line [SPARE]',,AFC-Mixer-(electrical),,,0,1,0
ST9,LO,2,4/28/21,20:28:10,20:31:06,20,31,6,175.76,Drop LRU: 'Transmitter Transmission Line [SPARE]',,AFC-Mixer-(electrical),,,0,1,0
ST9,LO,2,4/28/21,20:28:10,20:31:13,20,31,13,182.59,Leave Server Box Table,,AFC-Mixer-(electrical),,,0,1,0
ST9,LO,2,4/28/21,20:28:10,20:31:15,20,31,15,184.89,Move to Spare Parts Table,,AFC-Mixer-(electrical),,,0,1,0
ST9,LO,2,4/28/21,20:28:10,20:31:16,20,31,16,186.45,Pick Up LRU: 'AFC Mixer [SPARE]',,AFC-Mixer-(electrical),,,0,1,0
ST9,LO,2,4/28/21,20:28:10,20:31:18,20,31,18,188.04,Leave Spare Parts Table,,AFC-Mixer-(electrical),,,0,1,0
ST9,LO,2,4/28/21,20:28:10,20:31:19,20,31,19,189.11,Move to Server Box Table,,AFC-Mixer-(electrical),,,0,1,0
ST9,LO,2,4/28/21,20:28:10,20:31:21,20,31,21,191.29,Drop LRU: 'AFC Mixer [SPARE]',,AFC-Mixer-(electrical),,,0,1,0
ST9,LO,2,4/28/21,20:28:10,20:31:24,20,31,24,194.4,Leave Server Box Table,,AFC-Mixer-(electrical),,,0,1,0
ST9,LO,2,4/28/21,20:28:10,20:31:26,20,31,26,196.31,Move to Server Box Table,,AFC-Mixer-(electrical),,,0,1,0
ST9,LO,2,4/28/21,20:28:10,20:31:30,20,31,30,199.76,Move drawer: 98.2% open,Processor,AFC-Mixer-(electrical),,,0,1,0
