subject,subject_group,round,round_start_date_utc,round_start_time_utc,current_time_utc,current_hour24,current_minute,current_second,current_elapsed_seconds,event,ui_tab,active_faults,fixed_faults,fixed_nonfaults,ReplacedComponents,FaultsRemaining,ReplacedNonFaults
st35,LO,1,5/24/21,20:03:57,20:03:57,20,3,57,0.05,Make electrical flaw: Sweep Control Circuit,,Sweep-Control-Circuit-(electrical),,,0,1,0
st35,LO,1,5/24/21,20:03:57,20:03:57,20,3,57,0.05,Start (High Fidelity Sim),,Sweep-Control-Circuit-(electrical),,,0,1,0
st35,LO,1,5/24/21,20:03:57,20:04:31,20,4,31,34.33,Move to Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st35,LO,1,5/24/21,20:03:57,20:04:43,20,4,43,45.81,Leave Spare Parts Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st35,LO,1,5/24/21,20:03:57,20:04:44,20,4,44,46.78,Move to Server Box Table,,Sweep-Control-Circuit-(electrical),,,0,1,0
st35,LO,1,5/24/21,20:03:57,20:04:53,20,4,53,56.26,Swing front panel: 0% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st35,LO,1,5/24/21,20:03:57,20:04:56,20,4,56,58.94,Swing front panel: 0.6% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st35,LO,1,5/24/21,20:03:57,20:04:57,20,4,57,59.7,Swing front panel: 0.7% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st35,LO,1,5/24/21,20:03:57,20:04:58,20,4,58,61.35,Swing front panel: 0.7% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st35,LO,1,5/24/21,20:03:57,20:04:59,20,4,59,61.89,Swing front panel: 0.7% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st35,LO,1,5/24/21,20:03:57,20:05:02,20,5,2,64.99,Swing front panel: 0.6% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st35,LO,1,5/24/21,20:03:57,20:05:07,20,5,7,70.36,Swing front panel: 0% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st35,LO,1,5/24/21,20:03:57,20:05:13,20,5,13,75.94,Swing front panel: 0% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st35,LO,1,5/24/21,20:03:57,20:05:16,20,5,16,79.1,Swing front panel: 0% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
st35,LO,1,5/24/21,20:03:57,20:05:18,20,5,18,80.76,Swing front panel: 0% open,,Sweep-Control-Circuit-(electrical),,,0,1,0
