subject,subject_group,round,round_start_date_utc,round_start_time_utc,current_time_utc,current_hour24,current_minute,current_second,current_elapsed_seconds,event,ui_tab,active_faults,fixed_faults,fixed_nonfaults,ReplacedComponents,FaultsRemaining,ReplacedNonFaults
ST9,LO,1,4/28/21,8:00:28,8:00:28,20,0,28,0.1,Make electrical flaw: AFC Amplifier,Front Panel,AFC-Amplifier-(electrical),,,0,1,0
ST9,LO,1,4/28/21,8:00:28,8:00:28,20,0,28,0.1,Start,Front Panel,AFC-Amplifier-(electrical),,,0,1,0
ST9,LO,1,4/28/21,8:00:28,8:00:28,20,0,28,0.1,Change tab,Front Panel,AFC-Amplifier-(electrical),,,0,1,0
ST9,LO,1,4/28/21,8:00:28,8:00:49,20,0,49,21.35,Change tab,Processor,AFC-Amplifier-(electrical),,,0,1,0
ST9,LO,1,4/28/21,8:00:28,8:01:34,20,1,34,65.64,Click node: 'AFC Amplifier',Processor,AFC-Amplifier-(electrical),,,0,1,0
ST9,LO,1,4/28/21,8:00:28,8:01:35,20,1,35,67.15,Fixed AFC Amplifier (electrical),Processor,,AFC-Amplifier-(electrical),,1,0,0
ST9,LO,1,4/28/21,8:00:28,8:01:40,20,1,40,71.73,Change tab,Front Panel,,AFC-Amplifier-(electrical),,1,0,0
ST9,LO,1,4/28/21,8:00:28,8:01:42,20,1,42,73.88,Submit?,Front Panel,,AFC-Amplifier-(electrical),,1,0,0
ST9,LO,1,4/28/21,8:00:28,8:01:43,20,1,43,75.49,Submit Confirm,Front Panel,,AFC-Amplifier-(electrical),,1,0,0
ST9,LO,2,4/28/21,8:01:45,8:01:45,20,1,45,0,Make electrical flaw: Sweep Generator Circuit,Front Panel,Sweep-Generator-Circuit-(electrical),,,0,1,0
ST9,LO,2,4/28/21,8:01:45,8:01:45,20,1,45,0,Start,Front Panel,Sweep-Generator-Circuit-(electrical),,,0,1,0
ST9,LO,2,4/28/21,8:01:45,8:01:52,20,1,52,6.23,Change tab,Indicator,Sweep-Generator-Circuit-(electrical),,,0,1,0
ST9,LO,2,4/28/21,8:01:45,8:02:08,20,2,8,22.66,Change tab,Front Panel,Sweep-Generator-Circuit-(electrical),,,0,1,0
