subject,subject_group,round,round_start_date_utc,round_start_time_utc,current_time_utc,current_hour24,current_minute,current_second,current_elapsed_seconds,event,ui_tab,active_faults,fixed_faults,fixed_nonfaults,ReplacedComponents,FaultsRemaining,ReplacedNonFaults
st11,lo,1,4/30/21,6:49:14,6:49:15,18,49,15,0.05,Make electrical flaw: AFC Amplifier,Front Panel,AFC-Amplifier-(electrical),,,0,1,0
st11,lo,1,4/30/21,6:49:14,6:49:15,18,49,15,0.05,Start,Front Panel,AFC-Amplifier-(electrical),,,0,1,0
st11,lo,1,4/30/21,6:49:14,6:49:15,18,49,15,0.06,Change tab,Front Panel,AFC-Amplifier-(electrical),,,0,1,0
st11,lo,1,4/30/21,6:49:14,6:49:25,18,49,25,10.06,Change tab,Processor,AFC-Amplifier-(electrical),,,0,1,0
st11,lo,1,4/30/21,6:49:14,6:50:00,18,50,0,45.92,Click node: 'AFC Amplifier',Processor,AFC-Amplifier-(electrical),,,0,1,0
st11,lo,1,4/30/21,6:49:14,6:50:02,18,50,2,47.21,Fixed AFC Amplifier (electrical),Processor,,AFC-Amplifier-(electrical),,1,0,0
st11,lo,1,4/30/21,6:49:14,6:50:03,18,50,3,48.73,Submit?,Processor,,AFC-Amplifier-(electrical),,1,0,0
st11,lo,1,4/30/21,6:49:14,6:50:04,18,50,4,49.92,Submit Confirm,Processor,,AFC-Amplifier-(electrical),,1,0,0
st11,lo,2,4/30/21,6:50:07,6:50:07,18,50,7,0,Change tab,Front Panel,,,,0,0,0
st11,lo,2,4/30/21,6:50:07,6:50:07,18,50,7,0,Make electrical flaw: Sweep Generator Circuit,Front Panel,Sweep-Generator-Circuit-(electrical),,,0,1,0
st11,lo,2,4/30/21,6:50:07,6:50:07,18,50,7,0,Start,Front Panel,Sweep-Generator-Circuit-(electrical),,,0,1,0
st11,lo,2,4/30/21,6:50:07,6:50:11,18,50,11,3.42,Change tab,Indicator,Sweep-Generator-Circuit-(electrical),,,0,1,0
st11,lo,2,4/30/21,6:50:07,6:50:16,18,50,16,9.13,Click node: 'Sweep Generator Circuit',Indicator,Sweep-Generator-Circuit-(electrical),,,0,1,0
st11,lo,2,4/30/21,6:50:07,6:50:17,18,50,17,10.08,Fixed Sweep Generator Circuit (electrical),Indicator,,Sweep-Generator-Circuit-(electrical),,1,0,0
st11,lo,2,4/30/21,6:50:07,6:50:19,18,50,19,11.39,Submit?,Indicator,,Sweep-Generator-Circuit-(electrical),,1,0,0
st11,lo,2,4/30/21,6:50:07,6:50:20,18,50,20,12.37,Submit Confirm,Indicator,,Sweep-Generator-Circuit-(electrical),,1,0,0
st11,lo,3,4/30/21,6:50:21,6:50:21,18,50,21,0,Change tab,Front Panel,,,,0,0,0
st11,lo,3,4/30/21,6:50:21,6:50:21,18,50,21,0,Make electrical flaw: Stage 2 Modulator,Front Panel,Stage-2-Modulator-(electrical),,,0,1,0
st11,lo,3,4/30/21,6:50:21,6:50:21,18,50,21,0,Start,Front Panel,Stage-2-Modulator-(electrical),,,0,1,0
st11,lo,3,4/30/21,6:50:21,6:50:25,18,50,25,4,Change tab,Transmitter,Stage-2-Modulator-(electrical),,,0,1,0
st11,lo,3,4/30/21,6:50:21,6:50:41,18,50,41,19.8,Click node: 'Stage 2 Modulator',Transmitter,Stage-2-Modulator-(electrical),,,0,1,0
st11,lo,3,4/30/21,6:50:21,6:50:42,18,50,42,20.83,Fixed Stage 2 Modulator (electrical),Transmitter,,Stage-2-Modulator-(electrical),,1,0,0
st11,lo,3,4/30/21,6:50:21,6:50:44,18,50,44,22.79,Submit?,Transmitter,,Stage-2-Modulator-(electrical),,1,0,0
st11,lo,3,4/30/21,6:50:21,6:50:45,18,50,45,23.87,Submit Confirm,Transmitter,,Stage-2-Modulator-(electrical),,1,0,0
st11,lo,4,4/30/21,6:50:47,6:50:47,18,50,47,0,Change tab,Front Panel,,,,0,0,0
st11,lo,4,4/30/21,6:50:47,6:50:47,18,50,47,0,Make electrical flaw: Duplexer,Front Panel,Duplexer-(electrical),,,0,1,0
st11,lo,4,4/30/21,6:50:47,6:50:47,18,50,47,0,Start,Front Panel,Duplexer-(electrical),,,0,1,0
st11,lo,4,4/30/21,6:50:47,6:50:57,18,50,57,10.7,Change tab,Tracker,Duplexer-(electrical),,,0,1,0
st11,lo,4,4/30/21,6:50:47,6:51:06,18,51,6,18.98,Click node: 'Duplexer',Tracker,Duplexer-(electrical),,,0,1,0
st11,lo,4,4/30/21,6:50:47,6:51:07,18,51,7,19.97,Fixed Duplexer (electrical),Tracker,,Duplexer-(electrical),,1,0,0
st11,lo,4,4/30/21,6:50:47,6:51:09,18,51,9,22.08,Submit?,Tracker,,Duplexer-(electrical),,1,0,0
st11,lo,4,4/30/21,6:50:47,6:51:10,18,51,10,23.47,Submit Confirm,Tracker,,Duplexer-(electrical),,1,0,0
st11,lo,5,4/30/21,6:51:11,6:51:11,18,51,11,0,Change tab,Front Panel,,,,0,0,0
st11,lo,5,4/30/21,6:51:11,6:51:11,18,51,11,0,Make electrical flaw: Sweep Control Circuit,Front Panel,Sweep-Control-Circuit-(electrical),,,0,1,0
st11,lo,5,4/30/21,6:51:11,6:51:11,18,51,11,0,Start,Front Panel,Sweep-Control-Circuit-(electrical),,,0,1,0
st11,lo,5,4/30/21,6:51:11,6:51:16,18,51,16,4.56,Change tab,Indicator,Sweep-Control-Circuit-(electrical),,,0,1,0
st11,lo,5,4/30/21,6:51:11,6:51:21,18,51,21,9.32,Click node: 'Sweep Control Circuit',Indicator,Sweep-Control-Circuit-(electrical),,,0,1,0
st11,lo,5,4/30/21,6:51:11,6:51:21,18,51,21,10.03,Fixed Sweep Control Circuit (electrical),Indicator,,Sweep-Control-Circuit-(electrical),,1,0,0
st11,lo,5,4/30/21,6:51:11,6:51:22,18,51,22,10.86,Submit?,Indicator,,Sweep-Control-Circuit-(electrical),,1,0,0
st11,lo,5,4/30/21,6:51:11,6:51:23,18,51,23,11.68,Submit Confirm,Indicator,,Sweep-Control-Circuit-(electrical),,1,0,0
st11,lo,6,4/30/21,6:51:24,6:51:24,18,51,24,0,Change tab,Front Panel,,,,0,0,0
st11,lo,6,4/30/21,6:51:24,6:51:24,18,51,24,0,Make electrical flaw: Receiver Transmission Line,Front Panel,Receiver-Transmission-Line-(electrical),,,0,1,0
st11,lo,6,4/30/21,6:51:24,6:51:24,18,51,24,0,Start,Front Panel,Receiver-Transmission-Line-(electrical),,,0,1,0
st11,lo,6,4/30/21,6:51:24,6:51:29,18,51,29,4.72,Change tab,Processor,Receiver-Transmission-Line-(electrical),,,0,1,0
