subject,subject_group,round,round_start_date_utc,round_start_time_utc,current_time_utc,current_hour24,current_minute,current_second,current_elapsed_seconds,event,ui_tab,active_faults,fixed_faults,fixed_nonfaults,ReplacedComponents,FaultsRemaining,ReplacedNonFaults
st59,LO,1,9/15/21,7:34:32,7:34:32,19,34,32,0.04,Make electrical flaw: AFC Amplifier,Front Panel,AFC-Amplifier-(electrical),,,0,1,0
st59,LO,1,9/15/21,7:34:32,7:34:32,19,34,32,0.05,Start,Front Panel,AFC-Amplifier-(electrical),,,0,1,0
st59,LO,1,9/15/21,7:34:32,7:34:32,19,34,32,0.05,Change tab,Front Panel,AFC-Amplifier-(electrical),,,0,1,0
st59,LO,1,9/15/21,7:34:32,7:35:12,19,35,12,40.18,Change tab,Synchronizer,AFC-Amplifier-(electrical),,,0,1,0
st59,LO,1,9/15/21,7:34:32,7:35:14,19,35,14,41.82,Change tab,Transmitter,AFC-Amplifier-(electrical),,,0,1,0
st59,LO,1,9/15/21,7:34:32,7:35:16,19,35,16,43.58,Change tab,Tracker,AFC-Amplifier-(electrical),,,0,1,0
st59,LO,1,9/15/21,7:34:32,7:35:17,19,35,17,45.19,Change tab,Processor,AFC-Amplifier-(electrical),,,0,1,0
st59,LO,1,9/15/21,7:34:32,7:35:19,19,35,19,46.65,Change tab,Indicator,AFC-Amplifier-(electrical),,,0,1,0
st59,LO,1,9/15/21,7:34:32,7:35:21,19,35,21,49.06,Change tab,Front Panel,AFC-Amplifier-(electrical),,,0,1,0
st59,LO,1,9/15/21,7:34:32,7:35:24,19,35,24,52.21,Change tab,Processor,AFC-Amplifier-(electrical),,,0,1,0
st59,LO,1,9/15/21,7:34:32,7:35:47,19,35,47,74.54,Change tab,Front Panel,AFC-Amplifier-(electrical),,,0,1,0
st59,LO,1,9/15/21,7:34:32,7:36:10,19,36,10,97.56,Change tab,Processor,AFC-Amplifier-(electrical),,,0,1,0
st59,LO,1,9/15/21,7:34:32,7:36:27,19,36,27,114.69,Click node: 'AFC Amplifier',Processor,AFC-Amplifier-(electrical),,,0,1,0
st59,LO,1,9/15/21,7:34:32,7:36:28,19,36,28,116.5,Fixed AFC Amplifier (electrical),Processor,,AFC-Amplifier-(electrical),,1,0,0
st59,LO,1,9/15/21,7:34:32,7:36:31,19,36,31,119.21,Change tab,Tracker,,AFC-Amplifier-(electrical),,1,0,0
st59,LO,1,9/15/21,7:34:32,7:36:34,19,36,34,122.13,Change tab,Front Panel,,AFC-Amplifier-(electrical),,1,0,0
st59,LO,1,9/15/21,7:34:32,7:36:39,19,36,39,126.64,Change tab,Transmitter,,AFC-Amplifier-(electrical),,1,0,0
st59,LO,1,9/15/21,7:34:32,7:37:09,19,37,9,156.78,Click node: 'Stage 2 Modulator',Transmitter,,AFC-Amplifier-(electrical),,1,0,0
st59,LO,1,9/15/21,7:34:32,7:37:10,19,37,10,158.23,Replaced unnecessarily Stage 2 Modulator (electrical),Transmitter,,AFC-Amplifier-(electrical),Stage-2-Modulator-(electrical),2,0,1
st59,LO,1,9/15/21,7:34:32,7:37:13,19,37,13,160.6,Click node: 'RF Amplifier 2',Transmitter,,AFC-Amplifier-(electrical),Stage-2-Modulator-(electrical),2,0,1
st59,LO,1,9/15/21,7:34:32,7:37:14,19,37,14,161.58,Replaced unnecessarily RF Amplifier 2 (electrical),Transmitter,,AFC-Amplifier-(electrical),Stage-2-Modulator-(electrical) RF-Amplifier-2-(electrical),3,0,2
st59,LO,1,9/15/21,7:34:32,7:37:20,19,37,20,167.72,Click node: 'Stage 2 Modulator',Transmitter,,AFC-Amplifier-(electrical),Stage-2-Modulator-(electrical) RF-Amplifier-2-(electrical),3,0,2
st59,LO,1,9/15/21,7:34:32,7:37:22,19,37,22,169.79,Cancel window: 'Stage 2 Modulator',Transmitter,,AFC-Amplifier-(electrical),Stage-2-Modulator-(electrical) RF-Amplifier-2-(electrical),3,0,2
st59,LO,1,9/15/21,7:34:32,7:37:24,19,37,24,172.29,Click node: 'RF Amplifier 1',Transmitter,,AFC-Amplifier-(electrical),Stage-2-Modulator-(electrical) RF-Amplifier-2-(electrical),3,0,2
st59,LO,1,9/15/21,7:34:32,7:37:25,19,37,25,173.13,Replaced unnecessarily RF Amplifier 1 (electrical),Transmitter,,AFC-Amplifier-(electrical),Stage-2-Modulator-(electrical) RF-Amplifier-2-(electrical) RF-Amplifier-1-(electrical),4,0,3
st59,LO,1,9/15/21,7:34:32,7:37:26,19,37,26,173.76,Click node: 'Stage 1 Modulator',Transmitter,,AFC-Amplifier-(electrical),Stage-2-Modulator-(electrical) RF-Amplifier-2-(electrical) RF-Amplifier-1-(electrical),4,0,3
st59,LO,1,9/15/21,7:34:32,7:37:27,19,37,27,174.63,Replaced unnecessarily Stage 1 Modulator (electrical),Transmitter,,AFC-Amplifier-(electrical),Stage-2-Modulator-(electrical) RF-Amplifier-2-(electrical) RF-Amplifier-1-(electrical) Stage-1-Modulator-(electrical),5,0,4
st59,LO,1,9/15/21,7:34:32,7:37:28,19,37,28,176.31,Click node: 'Stage 1 Modulator',Transmitter,,AFC-Amplifier-(electrical),Stage-2-Modulator-(electrical) RF-Amplifier-2-(electrical) RF-Amplifier-1-(electrical) Stage-1-Modulator-(electrical),5,0,4
st59,LO,1,9/15/21,7:34:32,7:37:30,19,37,30,178.05,Cancel window: 'Stage 1 Modulator',Transmitter,,AFC-Amplifier-(electrical),Stage-2-Modulator-(electrical) RF-Amplifier-2-(electrical) RF-Amplifier-1-(electrical) Stage-1-Modulator-(electrical),5,0,4
