User ID,Quiz Result ID,Taken On,Score,Question 1 Body,Question 1 Answer,Question 1 Correct
770,16342,2021-03-31 19:34:39 UTC,0.0,What is the name of yellow circled component?,Tracker 2,no
771,16490,2021-04-02 19:14:10 UTC,1.0,What is the name of yellow circled component?,Transmitter transmission line,yes
772,16683,2021-04-09 16:51:25 UTC,0.0,What is the name of yellow circled component?,Transmitter Waveguide,no
773,16729,2021-04-10 00:42:15 UTC,1.0,What is the name of yellow circled component?,transmitter transmission line,yes
776,16974,2021-04-16 21:11:37 UTC,0.0,What is the name of yellow circled component?,"",no
776,16976,2021-04-16 21:11:44 UTC,0.0,What is the name of yellow circled component?,"",no
784,17148,2021-04-26 23:29:17 UTC,0.0,What is the name of yellow circled component?,Transmitter Waveguide,no
779,17170,2021-04-27 01:45:03 UTC,0.0,What is the name of yellow circled component?,"",no
784,17195,2021-04-27 16:53:15 UTC,0.0,What is the name of yellow circled component?,N/A,no
780,17217,2021-04-28 18:24:41 UTC,0.0,What is the name of yellow circled component?,track transmitter,no
787,17241,2021-04-28 20:43:29 UTC,0.0,What is the name of yellow circled component?,big lights will inspire you,no
790,17265,2021-04-28 21:28:48 UTC,0.0,What is the name of yellow circled component?,Transmission Transmitter Antennae,no
786,17287,2021-04-29 19:22:21 UTC,0.0,What is the name of yellow circled component?,transmitted amplifier,no
789,17329,2021-04-30 19:28:21 UTC,0.0,What is the name of yellow circled component?,Transmitter Link,no
781,17351,2021-05-01 19:29:34 UTC,1.0,What is the name of yellow circled component?,Transmitter Transmission Line,yes
783,17373,2021-05-02 21:28:55 UTC,1.0,What is the name of yellow circled component?,Transmitter transmission line,yes
793,17395,2021-05-05 18:34:17 UTC,0.0,What is the name of yellow circled component?,Transmission line,no
800,17417,2021-05-06 00:37:16 UTC,0.0,What is the name of yellow circled component?,Transmission Antenna Line,no
795,17439,2021-05-06 17:28:52 UTC,0.0,What is the name of yellow circled component?,Transmitter line,no
799,17460,2021-05-07 22:51:43 UTC,0.0,What is the name of yellow circled component?,Tracker Receiver,no
802,17483,2021-05-09 15:18:35 UTC,0.0,What is the name of yellow circled component?,TTI,no
803,17505,2021-05-10 16:22:09 UTC,1.0,What is the name of yellow circled component?,Transmitter transmission Line,yes
803,17507,2021-05-10 16:22:33 UTC,1.0,What is the name of yellow circled component?,Transmitter transmission Line,yes
804,17529,2021-05-11 01:25:15 UTC,0.0,What is the name of yellow circled component?,Transsmitter line antenna,no
796,17555,2021-05-11 21:27:02 UTC,0.0,What is the name of yellow circled component?,Transmission line,no
807,17581,2021-05-13 19:27:58 UTC,0.0,What is the name of yellow circled component?,"",no
808,17609,2021-05-14 16:10:41 UTC,1.0,What is the name of yellow circled component?,Transmitter Transmission Line,yes
809,17631,2021-05-14 22:55:13 UTC,0.0,What is the name of yellow circled component?,transmitter,no
811,17653,2021-05-17 16:38:36 UTC,0.0,What is the name of yellow circled component?,Signal receiver,no
794,17675,2021-05-20 23:21:35 UTC,1.0,What is the name of yellow circled component?,Transmitter transmission line,yes
797,17697,2021-05-21 16:23:49 UTC,0.0,What is the name of yellow circled component?,transmission line,no
816,17719,2021-05-21 21:09:30 UTC,0.0,What is the name of yellow circled component?,Transmititng Transmission Line,no
810,17741,2021-05-22 17:55:36 UTC,0.0,What is the name of yellow circled component?,"",no
812,17763,2021-05-24 20:25:06 UTC,0.0,What is the name of yellow circled component?,transmitter line,no
817,17785,2021-05-26 15:23:52 UTC,1.0,What is the name of yellow circled component?,transmitter transmission line,yes
814,17807,2021-05-27 16:35:06 UTC,0.0,What is the name of yellow circled component?,Transmission Line,no
820,17873,2021-05-28 23:49:10 UTC,0.0,What is the name of yellow circled component?,transition transmission line 2,no
821,17903,2021-05-29 16:33:08 UTC,1.0,What is the name of yellow circled component?,Transmitter Transmission Line,yes
822,17925,2021-06-03 17:52:52 UTC,0.0,What is the name of yellow circled component?,Tracker Transmission Line,no
823,17947,2021-06-05 01:27:00 UTC,0.0,What is the name of yellow circled component?,"",no
825,17969,2021-06-05 22:24:25 UTC,0.0,What is the name of yellow circled component?,"",no
826,17991,2021-06-07 16:23:02 UTC,0.0,What is the name of yellow circled component?,"",no
828,18014,2021-06-15 15:24:45 UTC,0.0,What is the name of yellow circled component?,Transmission line,no
813,18038,2021-06-15 18:22:00 UTC,0.0,What is the name of yellow circled component?,Transmitter line,no
829,18060,2021-06-15 19:25:13 UTC,0.0,What is the name of yellow circled component?,receiver,no
830,18082,2021-06-21 19:21:05 UTC,0.0,What is the name of yellow circled component?,Transmission,no
808,18104,2021-07-01 15:19:50 UTC,0.0,What is the name of yellow circled component?,Transmission wave line,no
832,18126,2021-07-01 18:24:29 UTC,0.0,What is the name of yellow circled component?,"",no
834,18149,2021-07-17 00:27:04 UTC,0.0,What is the name of yellow circled component?,Transmission Line Antenna,no
833,18174,2021-07-19 19:54:05 UTC,0.0,What is the name of yellow circled component?,DC Differentiator,no
837,18199,2021-09-14 22:06:53 UTC,0.0,What is the name of yellow circled component?,"",no
838,18225,2021-09-15 20:29:36 UTC,0.0,What is the name of yellow circled component?,Receiver transmission,no
839,18255,2021-10-07 17:33:28 UTC,0.0,What is the name of yellow circled component?,Transmission Line,no
852,18277,2021-10-15 01:40:48 UTC,0.0,What is the name of yellow circled component?,Sending line?,no
853,18299,2021-10-15 17:45:25 UTC,0.0,What is the name of yellow circled component?,R1 Modulator,no
